Ticker,Name,Exchange,Category,Country,Quote,Income,Balance,Cash,Insider,Institutional,Bonds,Buybacks
AAPL,Apple Inc.,NMS,Electronic Equipment,USA,5/12/2021,3/26/2021,4/1/2021,3/26/2021,N,N,N,N
BAC,Bank of America Corporation,NYQ,Money Center Banks,USA,5/11/2021,3/27/2021,3/27/2021,3/27/2021,N,N,N,N
AMZN,Amazon.com Inc.,NMS,Catalog & Mail Order Houses,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
CHWY,Chewy,NYQ,Catalog & Mail Order Houses,USA,5/11/2021,3/30/2021,3/30/2021,3/30/2021,N,N,N,N
T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA,3/19/2021,3/20/2021,3/20/2021,3/20/2021,N,N,N,N
CDNS,Cadence Design Systems Inc,NSQ,Application Software,USA,N,N,N,N,N,N,N,N
CPRT,Copart Inc,NMS,Business Software & Services,USA,N,N,N,N,N,N,N,N
POOL,Pool Corporation,NMS,Toys & Games,USA,N,N,N,N,N,N,N,N
NWS,News Corporation,NMS,Broadcasting - TV,USA,N,N,N,N,N,N,N,N
HFC,HollyFrontier Corporation,NQS,Oil & Gas Refining & Marketing,USA,N,N,N,N,N,N,N,N
IPGP,IPG Photonics Corporation,NMS,Semiconductor Equipment & Materials,USA,N,N,N,N,N,N,N,N
PNW,Pinnacle West Capital Corporation,NMS,Electric Utilities,USA,N,N,N,N,N,N,N,N
NCLH,Norwegian Cruise Line Holdings Ltd,NQS,Resorts & Casinos,USA,N,N,N,N,N,N,N,N
CBOE,Cboe Global Markets,NMS,Diversified Investments,USA,N,N,N,N,N,N,N,N
IPG,The Interpublic Group of Companies,NQS,Advertising Agencies,USA,N,N,N,N,N,N,N,N
LKQ,LKQ Corporation,NMS,Auto Parts Stores,USA,N,N,N,N,N,N,N,N
CDW,CDW Corporation,NMS,Information Technology Services,USA,N,N,N,N,N,N,N,N
ZBRA,Zebra Technologies Corporation,NMS,Communication Equipment,USA,N,N,N,N,N,N,N,N
GOOG,Alphabet Inc.,NMS,Internet Information Providers,USA,5/11/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
MO,Altria Group Inc.,NYQ,Cigarettes,USA,5/11/2021,5/11/2021,3/23/2021,3/23/2021,N,N,N,N
DAL,Delta Air Lines Inc.,NYQ,Major Airlines,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
LYFT,Lyft,NYQ,Application Software,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
PTON,Peloton Interactive Inc,NYQ,Sporting Activities,USA,5/11/2021,5/11/2021,5/11/2021,5/11/2021,N,N,N,N
PLTR,Palantir Technologies,NYQ,Application Software,USA,5/12/2021,5/10/2021,5/10/2021,5/10/2021,N,N,N,N
UBER,Uber,NYQ,Application Software,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
AA,Alcoa Corporation,NYQ,Aluminum,USA,5/12/2021,4/26/2021,4/26/2021,4/26/2021,N,N,N,N
KSU,Kansas City Southern,NYQ,Railroads,USA,N,N,N,N,N,N,N,N
WRK,WestRock Company,NYQ,Packaging & Containers,USA,N,N,N,N,N,N,N,N
CHD,Church and Dwight Co,NYQ,Personal Products,USA,N,N,N,N,N,N,N,N
CFG,Citizens Financial Group,NYQ,Regional - Northeast Banks,USA,N,N,N,N,N,N,N,N
ULTA,Ulta Beauty,NMS,Specialty Retail Other,USA,N,N,N,N,N,N,N,N
CE,Celanese Corporation,NQS,Chemicals - Major Diversified,USA,N,N,N,N,N,N,N,N
DRE,Duke Realty Corporation,NQS,REIT - Industrial,USA,N,N,N,N,N,N,N,N
IEX,IDEX Corporation,NQS,Diversified Machinery,USA,N,N,N,N,N,N,N,N
AXP,American Express Company,NYQ,Credit Services,USA,3/26/2021,3/26/2021,3/26/2021,3/26/2021,N,N,N,N
