Ticker,Name,Exchange,Category,Country,Quote,Key,Income,Balance,Cash,Insider,Bonds
AAPL,Apple Inc.,NMS,Electronic Equipment,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
BAC,Bank of America Corporation,NYQ,Money Center Banks,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AMZN,Amazon.com Inc.,NMS,Internet Retial,USA,6/1/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
CHWY,Chewy,NYQ,Internet Retial,USA,6/1/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA,5/30/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
CDNS,Cadence Design Systems Inc,NSQ,Application Software,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CPRT,Copart Inc,NMS,Business Software & Services,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
POOL,Pool Corporation,NMS,Toys & Games,USA,6/1/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
HFC,HollyFrontier Corporation,NQS,Oil & Gas Refining & Marketing,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
IPGP,IPG Photonics Corporation,NMS,Semiconductor Equipment & Materials,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
PNW,Pinnacle West Capital Corporation,NMS,Electric Utilities,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
NCLH,Norwegian Cruise Line Holdings Ltd,NQS,Resorts & Casinos,USA,5/31/2021,5/28/2021,N,5/28/2021,5/28/2021,5/28/2021,N
CBOE,Cboe Global Markets,NMS,Diversified Investments,USA,N,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
IPG,The Interpublic Group of Companies,NQS,Advertising Agencies,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
LKQ,LKQ Corporation,NMS,Auto Parts Stores,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
CDW,CDW Corporation,NMS,Information Technology Services,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ZBRA,Zebra Technologies Corporation,NMS,Communication Equipment,USA,5/31/2021,5/31/2021,5/31/2021,5/28/2021,5/28/2021,N,N
GOOG,Alphabet Inc.,NMS,Internet Information Providers,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
MO,Altria Group Inc.,NYQ,Cigarettes,USA,6/1/2021,5/28/2021,5/11/2021,3/23/2021,3/23/2021,5/28/2021,N
DAL,Delta Air Lines Inc.,NYQ,Major Airlines,USA,5/28/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
LYFT,Lyft,NYQ,Application Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
PTON,Peloton Interactive Inc,NYQ,Sporting Activities,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
PLTR,Palantir Technologies,NYQ,Application Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
UBER,Uber,NYQ,Application Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AA,Alcoa Corporation,NYQ,Aluminum,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
