Ticker,Name,Exchange,Sector,Country,grb,nns,nn,ntnt,ntent,nteny,ntetn,ntn
ADV, Advantage Solutions Inc, NMS,Advertising Agencies, USA, N, N, N, N, N, N, N, N
CRTO, Criteo SA, NMS,Advertising Agencies, USA, N, N, N, N, N, N, N, N
ICLK, iClick Interactive Asia Group Limited, NMS,Advertising Agencies, USA, N, N, N, N, N, N, N, N
BYRN, Byrna Technologies Inc, NMS,Aerospace Defense Products & Services, USA, N, N, N, N, N, N, N, N
EH, EHang Holdings Limited, NMS,Aerospace Defense Products & Services, USA, N, N, N, N, N, N, N, N
ESLT, Elbit Systems Ltd, NMS,Aerospace Defense Products & Services, USA, N, N, N, N, N, N, N, N
RYAAY, Ryanair Holdings plc, NMS,Major Airlines, USA, N, N, N, N, N, N, N, N
SNCY, Sun Country Airlines Holdings Inc, NMS,Regional Airlines, USA, N, N, N, N, N, N, N, N
ULCC, Frontier Group Holdings Inc, NMS,Regional Airlines, USA, N, N, N, N, N, N, N, N
OMAB, Grupo Aeroportuario del Centro Norte SAB de CV, NMS,Air Services Other, USA, N, N, N, N, N, N, N, N
CG, The Carlyle Group Inc, NMS,Asset Management, USA, N, N, N, N, N, N, N, N
GCMG, GCM Grosvenor Inc, NMS,Asset Management, USA, N, N, N, N, N, N, N, N
NMFC, New Mountain Finance Corporation, NMS,Asset Management, USA, N, N, N, N, N, N, N, N
PAX, Patria Investments Limited, NMS,Asset Management, USA, N, N, N, N, N, N, N, N
VCTR, Victory Capital Holdings Inc, NMS,Asset Management, USA, N, N, N, N, N, N, N, N
DRVN, Driven Brands Holdings Inc, NMS,Auto Dealerships, USA, N, N, N, N, N, N, N, N
VRM, Vroom Inc, NMS,Auto Dealerships, USA, N, N, N, N, N, N, N, N
ARVL, Arrival, NMS,Auto Manufacturers - Major, USA, N, N, N, N, N, N, N, N
GOEV, Canoo Inc, NMS,Auto Manufacturers - Major, USA, N, N, N, N, N, N, N, N
LI, Li Auto Inc, NMS,Auto Manufacturers - Major, USA, N, N, N, N, N, N, N, N
NIU, Niu Technologies, NMS,Auto Manufacturers - Major, USA, N, N, N, N, N, N, N, N
NKLA, Nikola Corporation, NMS,Auto Manufacturers - Major, USA, N, N, N, N, N, N, N, N
RIDE, Lordstown Motors Corp, NMS,Auto Manufacturers - Major, USA, N, N, N, N, N, N, N, N
FHB, First Hawaiian Inc, NMS,Regional - Pacific Banks, USA, N, N, N, N, N, N, N, N
OZK, Bank OZK, NMS,Regional - Southeast Banks, USA, N, N, N, N, N, N, N, N
PFC, Premier Financial Corp, NMS,Regional - Midwest Banks, USA, N, N, N, N, N, N, N, N
TCF, TCF Financial Corporation, NMS,Regional - Midwest Banks, USA, N, N, N, N, N, N, N, N
TFSL, TFS Financial Corporation, NMS,Regional - Midwest Banks, USA, N, N, N, N, N, N, N, N
UMPQ, Umpqua Holdings Corporation, NMS,Regional - Pacific Banks, USA, N, N, N, N, N, N, N, N
KDP, Keurig Dr Pepper Inc, NMS,Beverages - Soft Drinks, USA, N, N, N, N, N, N, N, N
ABCL, AbCellera Biologics Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
ABCM, Abcam plc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
ACRS, Aclaris Therapeutics Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
ADPT, Adaptive Biotechnologies Corporation, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
ARGX, argenx SE, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
AUPH, Aurinia Pharmaceuticals Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
BGNE, BeiGene Ltd, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
BLI, Berkeley Lights Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
BNTX, BioNTech SE, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
CERE, Cerevel Therapeutics Holdings Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
CERT, Certara Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
CRIS, Curis Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
CRSP, CRISPR Therapeutics AG, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
CVAC, CureVac NV, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
DSGN, Design Therapeutics Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
EPIX, ESSA Pharma Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
EWTX, Edgewise Therapeutics Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
GLPG, Galapagos NV, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
GMAB, Genmab A/S, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
GRCL, Gracell Biotechnologies Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
HCM, HUTCHMED (China) Limited, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
HGEN, Humanigen Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
IMAB, I-Mab, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
IMCR, Immunocore Holdings plc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
IONS, Ionis Pharmaceuticals Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
IOVA, Iovance Biotherapeutics Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
JAZZ, Jazz Pharmaceuticals plc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
LEGN, Legend Biotech Corporation, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
MNMD, Mind Medicine (MindMed) Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
MOR, MorphoSys AG, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
MRVI, Maravai LifeSciences Holdings Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
NOVN, Novan Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
OCGN, Ocugen Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
PRTC, PureTech Health plc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
RETA, Reata Pharmaceuticals Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
RPTX, Repare Therapeutics Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
RXRX, Recursion Pharmaceuticals Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
SANA, Sana Biotechnology Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
TIL, Instil Bio Inc, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
UTHR, United Therapeutics Corporation, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
ZEAL, Zealand Pharma A/S, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
ZLAB, Zai Lab Limited, NMS,Biotechnology, USA, N, N, N, N, N, N, N, N
FOX, Fox Corporation, NMS, Broadcasting, USA, N, N, N, N, N, N, N, N
FWONA, Formula One Group, NMS, Broadcasting, USA, N, N, N, N, N, N, N, N
FWONK, Formula One Group, NMS, Broadcasting, USA, N, N, N, N, N, N, N, N
LSXMA, The Liberty SiriusXM Group, NMS, Broadcasting, USA, N, N, N, N, N, N, N, N
LSXMB, The Liberty SiriusXM Group, NMS, Broadcasting, USA, N, N, N, N, N, N, N, N
LSXMK, The Liberty SiriusXM Group, NMS, Broadcasting, USA, N, N, N, N, N, N, N, N
SWIM, Latham Group Inc, NMS, Building Products & Equipment, USA, N, N, N, N, N, N, N, N
VIEW, View Inc, NMS, Building Products & Equipment, USA, N, N, N, N, N, N, N, N
FRHC, Freedom Holding Corp, NMS, Capital Markets, USA, N, N, N, N, N, N, N, N
TIGR, UP Fintech Holding Limited, NMS, Capital Markets, USA, N, N, N, N, N, N, N, N
TW, Tradeweb Markets Inc, NMS, Capital Markets, USA, N, N, N, N, N, N, N, N
XP, XP Inc, NMS, Capital Markets, USA, N, N, N, N, N, N, N, N
MEOH, Methanex Corporation, NMS, Chemicals, USA, N, N, N, N, N, N, N, N
ZY, Zymergen Inc, NMS, Chemicals, USA, N, N, N, N, N, N, N, N
COMM, CommScope Holding Company Inc, NMS, Communication Equipment, USA, N, N, N, N, N, N, N, N
ERIC, Telefonaktiebolaget LM Ericsson (publ), NMS, Communication Equipment, USA, N, N, N, N, N, N, N, N
LITE, Lumentum Holdings Inc, NMS, Communication Equipment, USA, N, N, N, N, N, N, N, N
SATS, EchoStar Corporation, NMS, Communication Equipment, USA, N, N, N, N, N, N, N, N
CAN, Canaan Inc, NMS, Computer Hardware, USA, N, N, N, N, N, N, N, N
CRCT, Cricut Inc, NMS, Computer Hardware, USA, N, N, N, N, N, N, N, N
LOGI, Logitech International SA, NMS, Computer Hardware, USA, N, N, N, N, N, N, N, N
NNDM, Nano Dimension Ltd, NMS, Computer Hardware, USA, N, N, N, N, N, N, N, N
LPRO, Open Lending Corporation, NMS, Credit Services, USA, N, N, N, N, N, N, N, N
LX, LexinFintech Holdings Ltd, NMS, Credit Services, USA, N, N, N, N, N, N, N, N
QFIN, 360 DigiTech Inc, NMS, Credit Services, USA, N, N, N, N, N, N, N, N
UPST, Upstart Holdings Inc, NMS, Credit Services, USA, N, N, N, N, N, N, N, N
BNGO, Bionano Genomics Inc, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
BNR, Burning Rock Biotech Limited, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
EXAS, Exact Sciences Corporation, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
GH, Guardant Health Inc, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
GTH, Genetron Holdings Limited, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
ICLR, ICON Public Limited Company, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
OLK, Olink Holding AB (publ), NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
QDEL, Quidel Corporation, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
RNLX, Renalytix AI plc, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
SHC, Sotera Health Company, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
SYNH, Syneos Health Inc, NMS, Diagnostics & Research, USA, N, N, N, N, N, N, N, N
GRFS, Grifols SA, NMS, Drug Manufacturers—General, USA, N, N, N, N, N, N, N, N
CGC, Canopy Growth Corporation, NMS, Drug Manufacturers—Specialty & Generic, USA, N, N, N, N, N, N, N, N
CRON, Cronos Group Inc, NMS, Drug Manufacturers—Specialty & Generic, USA, N, N, N, N, N, N, N, N
PPD, PPD Inc, NMS, Drug Manufacturers—Specialty & Generic, USA, N, N, N, N, N, N, N, N
SNDL, Sundial Growers Inc, NMS, Drug Manufacturers—Specialty & Generic, USA, N, N, N, N, N, N, N, N
VTRS, Viatris Inc, NMS, Drug Manufacturers—Specialty & Generic, USA, N, N, N, N, N, N, N, N
AFYA, Afya Limited, NMS, Education & Training Services, USA, N, N, N, N, N, N, N, N
ARCE, Arco Platform Limited, NMS, Education & Training Services, USA, N, N, N, N, N, N, N, N
LOPE, Grand Canyon Education Inc, NMS, Education & Training Services, USA, N, N, N, N, N, N, N, N
EOSE, Eos Energy Enterprises Inc, NMS, Electrical Equipment & Parts, USA, N, N, N, N, N, N, N, N
BILI, Bilibili Inc, NMS, Electronic Gaming & Multimedia, USA, N, N, N, N, N, N, N, N
PLTK, Playtika Holding Corp, NMS, Electronic Gaming & Multimedia, USA, N, N, N, N, N, N, N, N
DISCA, Discovery Inc, NMS, Entertainment, USA, N, N, N, N, N, N, N, N
DISCB, Discovery Inc, NMS, Entertainment, USA, N, N, N, N, N, N, N, N
LBRDA, Liberty Broadband Corporation, NMS, Entertainment, USA, N, N, N, N, N, N, N, N
LBTYB, Liberty Global plc, NMS, Entertainment, USA, N, N, N, N, N, N, N, N
LBTYK, Liberty Global plc, NMS, Entertainment, USA, N, N, N, N, N, N, N, N
ROKU, Roku Inc, NMS, Entertainment, USA, N, N, N, N, N, N, N, N
VIAC, ViacomCBS Inc, NMS, Entertainment, USA, N, N, N, N, N, N, N, N
VIACA, ViacomCBS Inc, NMS, Entertainment, USA, N, N, N, N, N, N, N, N
WMG, Warner Music Group Corp, NMS, Entertainment, USA, N, N, N, N, N, N, N, N
APPH, AppHarvest Inc, NMS, Farm Products, USA, N, N, N, N, N, N, N, N
DKNG, DraftKings Inc, NMS, Gambling, USA, N, N, N, N, N, N, N, N
